OID_,Clips_DEM_Large_S3_Regm6,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
70,-13,-4.958455051150471,18.664450327536478,-13.2318020,0.2825677,15.0314951,1.6535602
71,-13,-4.950998411150471,18.664450327536478,-13.2312136,0.2952940,15.2490072,1.6103781
72,-13,-4.943541771150471,18.664450327536478,-13.2305832,0.3199367,15.4491978,1.5696574
73,-13,-4.936085131150471,18.664450327536478,-13.2299137,0.3541482,15.6215572,1.5357864
74,-13,-4.928628491150471,18.664450327536478,-13.2292118,0.4001890,15.7520437,1.5138590
75,-13,-4.921171851150472,18.664450327536478,-13.2284851,0.4521844,15.8329401,1.5082294
76,-13,-4.913715211150471,18.664450327536478,-13.2277403,0.5074977,15.8542309,1.5214002
77,-13,-4.906258571150472,18.664450327536478,-13.2269878,0.5631455,15.8114719,1.5532702
78,-13,-4.898801931150472,18.664450327536478,-13.2262354,0.6046678,15.7023964,1.6009510
79,-13,-4.891345291150472,18.664450327536478,-13.2254896,0.6245678,15.5346594,1.6591525
80,-13,-4.883888651150472,18.664450327536478,-13.2247553,0.6264247,15.3152275,1.7216232
81,-13,-4.876432011150472,18.664450327536478,-13.2240334,0.6153277,15.0485973,1.7824149
82,-13,-4.868975371150472,18.664450327536478,-13.2233229,0.5907977,14.7452202,1.8366230
83,-13,-4.861518731150472,18.664450327536478,-13.2226238,0.5513842,14.4118271,1.8810712
84,-13,-5.077761291150471,18.656993687536477,-13.2382469,0.5186204,13.8764563,1.7193756
85,-13,-5.070304651150471,18.656993687536477,-13.2381144,0.5592597,13.9915619,1.7555877
86,-13,-5.062848011150471,18.656993687536477,-13.2379656,0.5976109,14.0873976,1.7876436
87,-13,-5.055391371150471,18.656993687536477,-13.2378025,0.6252138,14.1665344,1.8146722
88,-13,-5.047934731150471,18.656993687536477,-13.2376270,0.6346828,14.2319927,1.8357292
89,-13,-5.040478091150471,18.656993687536477,-13.2374382,0.6296170,14.2862720,1.8498986
90,-13,-5.033021451150471,18.656993687536477,-13.2372341,0.6167454,14.3339262,1.8563869
91,-13,-5.025564811150471,18.656993687536477,-13.2370138,0.5996549,14.3815298,1.8547442
92,-13,-5.018108171150471,18.656993687536477,-13.2367725,0.5779225,14.4340382,1.8450272
93,-13,-5.010651531150471,18.656993687536477,-13.2365103,0.5496885,14.4942245,1.8278553
94,-13,-5.003194891150471,18.656993687536477,-13.2362242,0.5093637,14.5676165,1.8042361
95,-13,-4.995738251150471,18.656993687536477,-13.2359123,0.4549409,14.6598787,1.7751124
96,-13,-4.988281611150471,18.656993687536477,-13.2355671,0.3884669,14.7784958,1.7412583
97,-13,-4.980824971150471,18.656993687536477,-13.2351847,0.3227356,14.9257107,1.7032479
98,-13,-4.973368331150471,18.656993687536477,-13.2347584,0.2721666,15.1014118,1.6614760
99,-13,-4.965911691150471,18.656993687536477,-13.2342834,0.2418768,15.2960281,1.6161863
100,-13,-4.958455051150471,18.656993687536477,-13.2337599,0.2310477,15.4979944,1.5678573
101,-13,-4.950998411150471,18.656993687536477,-13.2331886,0.2294238,15.6957235,1.5180507
102,-13,-4.943541771150471,18.656993687536477,-13.2325735,0.2386154,15.8822222,1.4696916
103,-13,-4.936085131150471,18.656993687536477,-13.2319164,0.2589381,16.0468845,1.4272517
104,-13,-4.928628491150471,18.656993687536477,-13.2312231,0.2910057,16.1751614,1.3963244
105,-13,-4.921171851150472,18.656993687536477,-13.2305002,0.3314025,16.2582645,1.3821408
106,-13,-4.913715211150471,18.656993687536477,-13.2297535,0.3789880,16.2859650,1.3884203
107,-13,-4.906258571150472,18.656993687536477,-13.2289925,0.4283443,16.2526760,1.4161466
108,-13,-4.898801931150472,18.656993687536477,-13.2282248,0.4680188,16.1554546,1.4630176
109,-13,-4.891345291150472,18.656993687536477,-13.2274570,0.4908946,15.9968748,1.5237550
110,-13,-4.883888651150472,18.656993687536477,-13.2266932,0.4971722,15.7881203,1.5915484
111,-13,-4.876432011150472,18.656993687536477,-13.2259359,0.4941814,15.5342169,1.6596413
112,-13,-4.868975371150472,18.656993687536477,-13.2251844,0.4822303,15.2392159,1.7223099
113,-13,-4.861518731150472,18.656993687536477,-13.2244377,0.4575821,14.9152174,1.7756451
114,-13,-4.854062091150472,18.656993687536477,-13.2236948,0.4202299,14.5753574,1.8175812
115,-13,-4.846605451150472,18.656993687536477,-13.2229500,0.3744101,14.2296734,1.8475655
116,-13,-5.100131211150472,18.649537047536480,-13.2403421,0.3388129,13.9258156,1.4771806
117,-13,-5.092674571150472,18.649537047536480,-13.2402916,0.3698761,14.0942116,1.5171026
118,-13,-5.085217931150471,18.649537047536480,-13.2402182,0.4000940,14.2540960,1.5559063
119,-13,-5.077761291150471,18.649537047536480,-13.2401228,0.4350942,14.4037485,1.5932251
120,-13,-5.070304651150471,18.649537047536480,-13.2400064,0.4739052,14.5374975,1.6284751
121,-13,-5.062848011150471,18.649537047536480,-13.2398710,0.5133289,14.6534357,1.6609241
122,-13,-5.055391371150471,18.649537047536480,-13.2397184,0.5433807,14.7494802,1.6897508
123,-13,-5.047934731150471,18.649537047536480,-13.2395515,0.5585987,14.8269644,1.7139480
124,-13,-5.040478091150471,18.649537047536480,-13.2393703,0.5627891,14.8904972,1.7323947
125,-13,-5.033021451150471,18.649537047536480,-13.2391720,0.5584416,14.9447098,1.7439885
126,-13,-5.025564811150471,18.649537047536480,-13.2389545,0.5503128,14.9927921,1.7478689
127,-13,-5.018108171150471,18.649537047536480,-13.2387190,0.5364303,15.0404129,1.7436234
128,-13,-5.010651531150471,18.649537047536480,-13.2384615,0.5174472,15.0922375,1.7313769
129,-13,-5.003194891150471,18.649537047536480,-13.2381811,0.4827518,15.1529160,1.7116985
130,-13,-4.995738251150471,18.649537047536480,-13.2378759,0.4340487,15.2270555,1.6852458
131,-13,-4.988281611150471,18.649537047536480,-13.2375402,0.3704345,15.3222065,1.6526868
132,-13,-4.980824971150471,18.649537047536480,-13.2371693,0.3023184,15.4430380,1.6146151
133,-13,-4.973368331150471,18.649537047536480,-13.2367563,0.2444767,15.5904751,1.5715213
134,-13,-4.965911691150471,18.649537047536480,-13.2362957,0.2043308,15.7555761,1.5238806
135,-13,-4.958455051150471,18.649537047536480,-13.2357874,0.1824225,15.9312849,1.4723444
136,-13,-4.950998411150471,18.649537047536480,-13.2352304,0.1681377,16.1070480,1.4184519
137,-13,-4.943541771150471,18.649537047536480,-13.2346287,0.1640396,16.2744637,1.3650753
138,-13,-4.936085131150471,18.649537047536480,-13.2339821,0.1690180,16.4257851,1.3166896
139,-13,-4.928628491150471,18.649537047536480,-13.2332954,0.1883788,16.5451946,1.2791574
140,-13,-4.921171851150472,18.649537047536480,-13.2325745,0.2175575,16.6256618,1.2583754
141,-13,-4.913715211150471,18.649537047536480,-13.2318249,0.2569322,16.6565075,1.2590750
142,-13,-4.906258571150472,18.649537047536480,-13.2310534,0.3002722,16.6284962,1.2832394
143,-13,-4.898801931150472,18.649537047536480,-13.2302694,0.3385339,16.5398197,1.3292190
144,-13,-4.891345291150472,18.649537047536480,-13.2294788,0.3638297,16.3952484,1.3918918
145,-13,-4.883888651150472,18.649537047536480,-13.2286854,0.3764101,16.1990700,1.4640399
146,-13,-4.876432011150472,18.649537047536480,-13.2278910,0.3817459,15.9605694,1.5382465
147,-13,-4.868975371150472,18.649537047536480,-13.2270975,0.3815879,15.6835375,1.6081437
148,-13,-4.861518731150472,18.649537047536480,-13.2263050,0.3713950,15.3753662,1.6693417
149,-13,-4.854062091150472,18.649537047536480,-13.2255106,0.3502676,15.0488338,1.7193242
150,-13,-4.846605451150472,18.649537047536480,-13.2247124,0.3224927,14.7192183,1.7571690
151,-13,-4.839148811150472,18.649537047536480,-13.2239046,0.2948307,14.3970366,1.7830381
152,-13,-4.831692171150472,18.649537047536480,-13.2230816,0.2774098,14.0947037,1.7972918
153,-13,-4.824235531150472,18.649537047536480,-13.2222404,0.2746883,13.8136930,1.8008933
154,-13,-5.129957771150472,18.642080407536479,-13.2420740,0.1561747,13.5439596,1.2130470
155,-13,-5.122501131150472,18.642080407536479,-13.2421494,0.1791527,13.7443104,1.2472268
156,-13,-5.115044491150472,18.642080407536479,-13.2421980,0.2053823,13.9446192,1.2817730
157,-13,-5.107587851150472,18.642080407536479,-13.2422218,0.2331337,14.1412964,1.3164326
158,-13,-5.100131211150472,18.642080407536479,-13.2422199,0.2590064,14.3343449,1.3510305
159,-13,-5.092674571150472,18.642080407536479,-13.2421932,0.2848065,14.5207510,1.3853985
160,-13,-5.085217931150471,18.642080407536479,-13.2421427,0.3114526,14.6981983,1.4194204
161,-13,-5.077761291150471,18.642080407536479,-13.2420683,0.3417895,14.8653641,1.4529704
162,-13,-5.070304651150471,18.642080407536479,-13.2419710,0.3757016,15.0193682,1.4857275
163,-13,-5.062848011150471,18.642080407536479,-13.2418518,0.4147212,15.1542816,1.5171181
164,-13,-5.055391371150471,18.642080407536479,-13.2417126,0.4481948,15.2681675,1.5463611
165,-13,-5.047934731150471,18.642080407536479,-13.2415571,0.4691422,15.3623047,1.5724782
166,-13,-5.040478091150471,18.642080407536479,-13.2413836,0.4793450,15.4411116,1.5942991
167,-13,-5.033021451150471,18.642080407536479,-13.2411909,0.4842034,15.5037136,1.6105280
168,-13,-5.025564811150471,18.642080407536479,-13.2409792,0.4865949,15.5561848,1.6199622
169,-13,-5.018108171150471,18.642080407536479,-13.2407475,0.4836917,15.6036463,1.6217228
170,-13,-5.010651531150471,18.642080407536479,-13.2404947,0.4732571,15.6519213,1.6154107
171,-13,-5.003194891150471,18.642080407536479,-13.2402191,0.4475828,15.7019691,1.6011196
172,-13,-4.995738251150471,18.642080407536479,-13.2399187,0.4054333,15.7632532,1.5791519
173,-13,-4.988281611150471,18.642080407536479,-13.2395906,0.3471117,15.8396473,1.5499389
174,-13,-4.980824971150471,18.642080407536479,-13.2392282,0.2791347,15.9376068,1.5140166
175,-13,-4.973368331150471,18.642080407536479,-13.2388248,0.2170224,16.0569057,1.4719671
176,-13,-4.965911691150471,18.642080407536479,-13.2383766,0.1707197,16.1935558,1.4244250
177,-13,-4.958455051150471,18.642080407536479,-13.2378798,0.1402997,16.3402596,1.3721794
178,-13,-4.950998411150471,18.642080407536479,-13.2373343,0.1159149,16.4895916,1.3167721
179,-13,-4.943541771150471,18.642080407536479,-13.2367420,0.0994759,16.6344528,1.2610017
180,-13,-4.936085131150471,18.642080407536479,-13.2361031,0.0925926,16.7663422,1.2092779
181,-13,-4.928628491150471,18.642080407536479,-13.2354212,0.1009352,16.8731747,1.1675891
182,-13,-4.921171851150472,18.642080407536479,-13.2347002,0.1208632,16.9452286,1.1422499
183,-13,-4.913715211150471,18.642080407536479,-13.2339449,0.1527214,16.9743195,1.1386859
184,-13,-4.906258571150472,18.642080407536479,-13.2331629,0.1918224,16.9518471,1.1597519
185,-13,-4.898801931150472,18.642080407536479,-13.2323608,0.2290443,16.8720722,1.2044568
186,-13,-4.891345291150472,18.642080407536479,-13.2315454,0.2559989,16.7405777,1.2679472
187,-13,-4.883888651150472,18.642080407536479,-13.2307224,0.2740378,16.5618839,1.3428848
188,-13,-4.876432011150472,18.642080407536479,-13.2298927,0.2859424,16.3413677,1.4214994
189,-13,-4.868975371150472,18.642080407536479,-13.2290573,0.2950556,16.0851860,1.4970058
190,-13,-4.861518731150472,18.642080407536479,-13.2282181,0.2989861,15.7986288,1.5646764
191,-13,-4.854062091150472,18.642080407536479,-13.2273741,0.2944387,15.4930210,1.6217121
192,-13,-4.846605451150472,18.642080407536479,-13.2265224,0.2816341,15.1819181,1.6669425
193,-13,-4.839148811150472,18.642080407536479,-13.2256603,0.2725440,14.8791418,1.7003565
194,-13,-4.831692171150472,18.642080407536479,-13.2247849,0.2706739,14.5909786,1.7220850
195,-13,-4.824235531150472,18.642080407536479,-13.2238913,0.2821952,14.3242607,1.7327188
196,-13,-4.816778891150472,18.642080407536479,-13.2229795,0.3085631,14.0802898,1.7338090
197,-13,-4.809322251150472,18.642080407536479,-13.2220488,0.3523199,13.8552351,1.7276760
198,-13,-5.159784331150472,18.634623767536478,-13.2432070,0.0594739,12.9602451,1.0607213
199,-13,-5.152327691150472,18.634623767536478,-13.2434130,0.0664031,13.1957645,1.0647198
200,-13,-5.144871051150472,18.634623767536478,-13.2435961,0.0731574,13.4188108,1.0774871
201,-13,-5.137414411150472,18.634623767536478,-13.2437553,0.0824733,13.6349878,1.0962200
202,-13,-5.129957771150472,18.634623767536478,-13.2438879,0.0964258,13.8478384,1.1187018
203,-13,-5.122501131150472,18.634623767536478,-13.2439938,0.1159944,14.0593014,1.1434275
204,-13,-5.115044491150472,18.634623767536478,-13.2440720,0.1383748,14.2695179,1.1695170
205,-13,-5.107587851150472,18.634623767536478,-13.2441244,0.1615256,14.4780741,1.1964543
206,-13,-5.100131211150472,18.634623767536478,-13.2441502,0.1825846,14.6816339,1.2239293
207,-13,-5.092674571150472,18.634623767536478,-13.2441502,0.2031546,14.8804474,1.2518007
208,-13,-5.085217931150471,18.634623767536478,-13.2441254,0.2237763,15.0745869,1.2800120
209,-13,-5.077761291150471,18.634623767536478,-13.2440748,0.2481456,15.2586861,1.3086144
210,-13,-5.070304651150471,18.634623767536478,-13.2439985,0.2776968,15.4291925,1.3375862
211,-13,-5.062848011150471,18.634623767536478,-13.2438984,0.3141169,15.5831356,1.3665404
212,-13,-5.055391371150471,18.634623767536478,-13.2437763,0.3488253,15.7172413,1.3948087
213,-13,-5.047934731150471,18.634623767536478,-13.2436333,0.3741729,15.8302870,1.4215387
214,-13,-5.040478091150471,18.634623767536478,-13.2434702,0.3890167,15.9243574,1.4456230
215,-13,-5.033021451150471,18.634623767536478,-13.2432861,0.4032733,16.0027599,1.4656618
216,-13,-5.025564811150471,18.634623767536478,-13.2430811,0.4152490,16.0681591,1.4801921
217,-13,-5.018108171150471,18.634623767536478,-13.2428532,0.4218697,16.1225128,1.4879336
218,-13,-5.010651531150471,18.634623767536478,-13.2426043,0.4194322,16.1709499,1.4879813
219,-13,-5.003194891150471,18.634623767536478,-13.2423325,0.4038090,16.2186985,1.4799871
220,-13,-4.995738251150471,18.634623767536478,-13.2420368,0.3692724,16.2700005,1.4638709
221,-13,-4.988281611150471,18.634623767536478,-13.2417135,0.3154971,16.3318214,1.4397321
222,-13,-4.980824971150471,18.634623767536478,-13.2413578,0.2505869,16.4072323,1.4079678
223,-13,-4.973368331150471,18.634623767536478,-13.2409620,0.1883415,16.5008183,1.3691730
224,-13,-4.965911691150471,18.634623767536478,-13.2405205,0.1390722,16.6091633,1.3240329
225,-13,-4.958455051150471,18.634623767536478,-13.2400322,0.1017906,16.7284069,1.2734228
226,-13,-4.950998411150471,18.634623767536478,-13.2394943,0.0713608,16.8487396,1.2189668
227,-13,-4.943541771150471,18.634623767536478,-13.2389088,0.0457673,16.9683189,1.1634055
228,-13,-4.936085131150471,18.634623767536478,-13.2382746,0.0297948,17.0780869,1.1109736
229,-13,-4.928628491150471,18.634623767536478,-13.2375937,0.0283701,17.1705303,1.0675910
230,-13,-4.921171851150472,18.634623767536478,-13.2368689,0.0404630,17.2318516,1.0396982
231,-13,-4.913715211150471,18.634623767536478,-13.2361069,0.0667123,17.2565250,1.0330865
232,-13,-4.906258571150472,18.634623767536478,-13.2353115,0.1019201,17.2370567,1.0512978
233,-13,-4.898801931150472,18.634623767536478,-13.2344913,0.1378189,17.1671162,1.0939972
234,-13,-4.891345291150472,18.634623767536478,-13.2336521,0.1663217,17.0467930,1.1567674
235,-13,-4.883888651150472,18.634623767536478,-13.2327986,0.1881100,16.8844509,1.2325006
236,-13,-4.876432011150472,18.634623767536478,-13.2319326,0.2068858,16.6852570,1.3134022
237,-13,-4.868975371150472,18.634623767536478,-13.2310572,0.2244394,16.4508972,1.3925264
238,-13,-4.861518731150472,18.634623767536478,-13.2301731,0.2385960,16.1894093,1.4649371
239,-13,-4.854062091150472,18.634623767536478,-13.2292805,0.2471163,15.9109964,1.5276742
240,-13,-4.846605451150472,18.634623767536478,-13.2283783,0.2518726,15.6236830,1.5793930
241,-13,-4.839148811150472,18.634623767536478,-13.2274647,0.2564220,15.3420248,1.6199287
242,-13,-4.831692171150472,18.634623767536478,-13.2265368,0.2683172,15.0742254,1.6492218
243,-13,-4.824235531150472,18.634623767536478,-13.2255936,0.2911764,14.8225651,1.6674287
244,-13,-4.816778891150472,18.634623767536478,-13.2246342,0.3304779,14.5890408,1.6755970
245,-13,-4.809322251150472,18.634623767536478,-13.2236595,0.3816246,14.3714991,1.6755933
246,-13,-4.801865611150472,18.634623767536478,-13.2226744,0.4360712,14.1658583,1.6695672
247,-13,-4.794408971150472,18.634623767536478,-13.2216816,0.4835543,13.9793653,1.6591899
248,-13,-4.786952331150472,18.634623767536478,-13.2206841,0.5257199,13.8146439,1.6455363
249,-13,-5.174697611150472,18.627167127536477,-13.2443790,-0.0318569,12.5831690,1.1120616
250,-13,-5.167240971150472,18.627167127536477,-13.2446594,-0.0248466,12.8869448,1.0666189
251,-13,-5.159784331150472,18.627167127536477,-13.2449217,-0.0161914,13.1620960,1.0372330
252,-13,-5.152327691150472,18.627167127536477,-13.2451639,-0.0048416,13.4175272,1.0219831
253,-13,-5.144871051150472,18.627167127536477,-13.2453814,0.0058112,13.6574230,1.0181811
254,-13,-5.137414411150472,18.627167127536477,-13.2455750,0.0186879,13.8858566,1.0229685
255,-13,-5.129957771150472,18.627167127536477,-13.2457399,0.0324765,14.1107340,1.0337312
256,-13,-5.122501131150472,18.627167127536477,-13.2458773,0.0514513,14.3329620,1.0484116
257,-13,-5.115044491150472,18.627167127536477,-13.2459869,0.0709463,14.5525084,1.0656791
258,-13,-5.107587851150472,18.627167127536477,-13.2460690,0.0902507,14.7672005,1.0846916
259,-13,-5.100131211150472,18.627167127536477,-13.2461243,0.1083793,14.9786444,1.1049068
260,-13,-5.092674571150472,18.627167127536477,-13.2461538,0.1271762,15.1862688,1.1260599
261,-13,-5.085217931150471,18.627167127536477,-13.2461557,0.1415909,15.3910227,1.1480973
262,-13,-5.077761291150471,18.627167127536477,-13.2461319,0.1582356,15.5896397,1.1711729
263,-13,-5.070304651150471,18.627167127536477,-13.2460804,0.1825841,15.7760334,1.1954634
264,-13,-5.062848011150471,18.627167127536477,-13.2460022,0.2160158,15.9476690,1.2208416
265,-13,-5.055391371150471,18.627167127536477,-13.2458982,0.2486152,16.1009541,1.2468573
266,-13,-5.047934731150471,18.627167127536477,-13.2457714,0.2738395,16.2337093,1.2728128
267,-13,-5.040478091150471,18.627167127536477,-13.2456217,0.2937298,16.3462982,1.2977436
268,-13,-5.033021451150471,18.627167127536477,-13.2454481,0.3128044,16.4432907,1.3203053
269,-13,-5.025564811150471,18.627167127536477,-13.2452507,0.3316103,16.5236568,1.3388931
270,-13,-5.018108171150471,18.627167127536477,-13.2450294,0.3461582,16.5904350,1.3519599
271,-13,-5.010651531150471,18.627167127536477,-13.2447853,0.3521106,16.6464043,1.3581984
272,-13,-5.003194891150471,18.627167127536477,-13.2445183,0.3446577,16.6960964,1.3567970
273,-13,-4.995738251150471,18.627167127536477,-13.2442255,0.3194749,16.7419338,1.3473302
274,-13,-4.988281611150471,18.627167127536477,-13.2439060,0.2717715,16.7908039,1.3295841
275,-13,-4.980824971150471,18.627167127536477,-13.2435532,0.2112280,16.8508682,1.3036659
276,-13,-4.973368331150471,18.627167127536477,-13.2431622,0.1511328,16.9238186,1.2700454
277,-13,-4.965911691150471,18.627167127536477,-13.2427254,0.1009299,17.0081081,1.2294225
278,-13,-4.958455051150471,18.627167127536477,-13.2422409,0.0597613,17.1002007,1.1827203
279,-13,-4.950998411150471,18.627167127536477,-13.2417078,0.0264395,17.1938972,1.1315786
280,-13,-4.943541771150471,18.627167127536477,-13.2411242,-0.0051466,17.2862778,1.0787135
281,-13,-4.936085131150471,18.627167127536477,-13.2404909,-0.0277323,17.3737087,1.0281432
282,-13,-4.928628491150471,18.627167127536477,-13.2398081,-0.0364075,17.4473610,0.9854627
283,-13,-4.921171851150472,18.627167127536477,-13.2390776,-0.0284885,17.4972191,0.9569867
284,-13,-4.913715211150471,18.627167127536477,-13.2383060,-0.0079526,17.5172100,0.9485251
285,-13,-4.906258571150472,18.627167127536477,-13.2374964,0.0236737,17.4973793,0.9639631
286,-13,-4.898801931150472,18.627167127536477,-13.2366562,0.0585962,17.4335079,1.0036452
287,-13,-4.891345291150472,18.627167127536477,-13.2357922,0.0904886,17.3263035,1.0638068
288,-13,-4.883888651150472,18.627167127536477,-13.2349081,0.1147965,17.1800900,1.1378589
289,-13,-4.876432011150472,18.627167127536477,-13.2340078,0.1387826,17.0003338,1.2183665
290,-13,-4.868975371150472,18.627167127536477,-13.2330933,0.1632953,16.7922764,1.2985691
291,-13,-4.861518731150472,18.627167127536477,-13.2321653,0.1875030,16.5565128,1.3735038
292,-13,-4.854062091150472,18.627167127536477,-13.2312269,0.2081632,16.3027248,1.4401606
293,-13,-4.846605451150472,18.627167127536477,-13.2302771,0.2265036,16.0428123,1.4970734
294,-13,-4.839148811150472,18.627167127536477,-13.2293148,0.2436535,15.7859879,1.5438541
