OID_,ClipsFinal_DEM_Large_S3_RegH,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
15,-12,-7.657758731150470,21.192251287536482,-12.7076578,0.0023140,39.6694221,-0.1697894,-0.0606043,4.0000000,0.2322124,1.0375248,15.4637413,-0.3534210,0.4050627
16,-12,-7.650302091150470,21.192251287536482,-12.7079096,0.0024793,40.4958687,-0.1495587,-0.0617954,4.0000000,0.2105071,1.0383202,15.6212053,-0.3340980,0.3600895
17,-12,-7.642845451150470,21.192251287536482,-12.7081699,0.0027273,41.3223152,-0.1270776,-0.0601489,4.0000000,0.1897008,1.0390621,15.7696314,-0.3099986,0.3082516
18,-12,-7.635388811150470,21.192251287536482,-12.7084370,0.0029752,42.1487617,-0.1053421,-0.0555451,4.0000000,0.1724565,1.0397499,15.9052029,-0.2835467,0.2564796
19,-12,-7.627932171150470,21.192251287536482,-12.7087107,0.0033058,43.8016510,-0.0838327,-0.0486164,4.0000000,0.1566058,1.0403862,16.0269070,-0.2538386,0.2041714
20,-12,-7.620475531150470,21.192251287536482,-12.7089911,0.0036364,45.4545441,-0.0636548,-0.0375393,4.0000000,0.1433687,1.0409497,16.1340866,-0.2184474,0.1538205
21,-12,-7.613018891150470,21.192251287536482,-12.7092762,0.0040496,47.1074371,-0.0448813,-0.0263866,4.0000000,0.1286437,1.0414252,16.2263126,-0.1814169,0.1075138
22,-12,-7.605562251150470,21.192251287536482,-12.7095671,0.0044628,48.7603302,-0.0292219,-0.0101014,4.0000000,0.1207506,1.0418147,16.2999229,-0.1409534,0.0689720
23,-12,-7.598105611150470,21.192251287536482,-12.7098627,0.0048760,49.5867767,-0.0164512,0.0069556,4.0000000,0.1114575,1.0421144,16.3560486,-0.0975463,0.0394147
24,-12,-7.307296651150470,21.192251287536482,-12.7139158,-0.0007438,25.6198349,-0.1104641,0.0737595,4.0000000,-0.1617226,1.0445818,16.8091755,0.3092416,0.2823257
25,-12,-7.299840011150470,21.192251287536482,-12.7136784,-0.0009091,24.7933884,-0.0981211,0.0690714,4.0000000,-0.1500186,1.0452769,16.9355297,0.2881614,0.2511857
26,-12,-7.292383371150470,21.192251287536482,-12.7134352,-0.0011570,23.9669418,-0.0832073,0.0669658,4.0000000,-0.1337593,1.0459423,17.0550938,0.2676908,0.2153227
27,-12,-7.284926731150470,21.192251287536482,-12.7131863,-0.0014050,23.1404953,-0.0669419,0.0680759,4.0000000,-0.1118037,1.0465572,17.1645508,0.2479556,0.1778971
28,-12,-7.277470091150470,21.192251287536482,-12.7129326,-0.0016529,22.3140488,-0.0488067,0.0756643,4.0000000,-0.0793083,1.0470986,17.2616901,0.2306368,0.1400079
29,-12,-7.270013451150470,21.192251287536482,-12.7126760,-0.0018182,21.4876041,-0.0311454,0.0849436,4.0000000,-0.0440356,1.0475601,17.3439350,0.2139227,0.1051297
30,-12,-7.657758731150470,21.184794647536481,-12.7096968,0.0044628,48.7603302,-0.1876731,-0.1094887,4.0000000,0.2280903,1.0369676,15.3504286,-0.4470676,0.4778362
31,-12,-7.650302091150470,21.184794647536481,-12.7099705,0.0047107,49.5867767,-0.1655666,-0.1158743,4.0000000,0.2009119,1.0377750,15.5133533,-0.4326604,0.4345013
32,-12,-7.642845451150470,21.184794647536481,-12.7102509,-0.0049587,5.7851238,-0.1422481,-0.1196503,4.0000000,0.1748888,1.0385463,15.6667261,-0.4141894,0.3858839
33,-12,-7.635388811150470,21.184794647536481,-12.7105370,-0.0046281,7.4380164,-0.1193218,-0.1190793,4.0000000,0.1534333,1.0392759,15.8090353,-0.3915918,0.3335426
34,-12,-7.627932171150470,21.184794647536481,-12.7108278,-0.0042149,9.0909090,-0.0968422,-0.1145651,4.0000000,0.1343368,1.0399436,15.9398146,-0.3634669,0.2780536
35,-12,-7.620475531150470,21.184794647536481,-12.7111235,-0.0038017,10.7438021,-0.0757192,-0.1073039,4.0000000,0.1176965,1.0405381,16.0559711,-0.3323042,0.2230081
36,-12,-7.613018891150470,21.184794647536481,-12.7114220,-0.0033884,12.3966942,-0.0556269,-0.0985626,4.0000000,0.0997765,1.0410627,16.1558514,-0.2969018,0.1693275
37,-12,-7.605562251150470,21.184794647536481,-12.7117233,-0.0029752,14.0495872,-0.0396238,-0.0851741,4.0000000,0.0890374,1.0415096,16.2403927,-0.2593857,0.1220169
38,-12,-7.598105611150470,21.184794647536481,-12.7120275,-0.0026446,15.7024794,-0.0264038,-0.0685724,4.0000000,0.0801496,1.0418662,16.3090801,-0.2172945,0.0806632
39,-12,-7.590648971150470,21.184794647536481,-12.7123346,-0.0023140,17.3553715,-0.0160891,-0.0512888,4.0000000,0.0717550,1.0421365,16.3602219,-0.1743325,0.0480558
40,-12,-7.314753291150470,21.184794647536481,-12.7163744,0.0012397,35.5371895,-0.0959725,0.0143703,4.0000000,-0.1722228,1.0442706,16.7506237,0.2009633,0.2284840
41,-12,-7.307296651150470,21.184794647536481,-12.7161617,0.0010744,34.7107430,-0.0874490,0.0057921,4.0000000,-0.1666678,1.0449435,16.8745937,0.1782521,0.2085804
42,-12,-7.299840011150470,21.184794647536481,-12.7159414,0.0009091,33.8842964,-0.0775823,-0.0012465,4.0000000,-0.1590115,1.0455960,16.9917088,0.1565186,0.1858232
43,-12,-7.292383371150470,21.184794647536481,-12.7157145,0.0006612,33.0578499,-0.0662649,-0.0061304,4.0000000,-0.1475351,1.0462152,17.1032581,0.1352744,0.1595670
44,-12,-7.284926731150470,21.184794647536481,-12.7154799,0.0004132,32.2314034,-0.0535022,-0.0073365,4.0000000,-0.1301164,1.0467898,17.2066002,0.1154435,0.1293199
45,-12,-7.277470091150470,21.184794647536481,-12.7152395,0.0001653,31.4049587,-0.0406082,-0.0045145,4.0000000,-0.1046744,1.0473106,17.2998924,0.0956455,0.0981419
46,-12,-7.270013451150470,21.184794647536481,-12.7149944,0.0000000,30.5785122,-0.0280788,0.0031042,4.0000000,-0.0729275,1.0477661,17.3791046,0.0791359,0.0676995
47,-12,-7.262556811150470,21.184794647536481,-12.7147465,-0.0001653,29.7520657,-0.0168887,0.0164767,4.0000000,-0.0307116,1.0481395,17.4434776,0.0636650,0.0417601
48,-12,-7.255100171150470,21.184794647536481,-12.7144976,-0.0003306,28.9256191,-0.0077195,0.0348181,4.0000000,0.0188786,1.0484074,17.4925652,0.0507576,0.0242799
49,-12,-7.247643531150470,21.184794647536481,-12.7142515,-0.0004959,28.0991745,-0.0008601,0.0566095,4.0000000,0.0737383,1.0485729,17.5212307,0.0394807,0.0180659
50,-12,-7.657758731150470,21.177338007536481,-12.7117147,-0.0031405,10.7438021,-0.1976615,-0.1491908,4.0000000,0.2237515,1.0362810,15.2098255,-0.5221332,0.5412325
51,-12,-7.650302091150470,21.177338007536481,-12.7120104,-0.0028926,12.3966942,-0.1750168,-0.1592227,4.0000000,0.1933082,1.0370953,15.3755226,-0.5117536,0.5042641
52,-12,-7.642845451150470,21.177338007536481,-12.7123117,-0.0025620,14.8760328,-0.1514403,-0.1668717,4.0000000,0.1640881,1.0378819,15.5333500,-0.4978316,0.4625354
53,-12,-7.635388811150470,21.177338007536481,-12.7126188,-0.0023140,16.5289249,-0.1272229,-0.1694209,4.0000000,0.1386798,1.0386294,15.6813011,-0.4775217,0.4121340
54,-12,-7.627932171150470,21.177338007536481,-12.7129278,-0.0019835,18.1818180,-0.1022320,-0.1704801,4.0000000,0.1124408,1.0393207,15.8177481,-0.4534011,0.3576273
55,-12,-7.620475531150470,21.177338007536481,-12.7132397,-0.0016529,19.8347111,-0.0802733,-0.1659163,4.0000000,0.0936262,1.0399443,15.9395008,-0.4254587,0.3014819
56,-12,-7.613018891150470,21.177338007536481,-12.7135525,-0.0013223,21.4876041,-0.0598396,-0.1594401,4.0000000,0.0744831,1.0405040,16.0472565,-0.3933633,0.2461852
57,-12,-7.605562251150470,21.177338007536481,-12.7138672,-0.0009917,23.1404953,-0.0433066,-0.1478197,4.0000000,0.0620100,1.0409931,16.1409397,-0.3576494,0.1931542
58,-12,-7.598105611150470,21.177338007536481,-12.7141809,-0.0007438,24.7933884,-0.0291097,-0.1352846,4.0000000,0.0500635,1.0414003,16.2184505,-0.3206326,0.1454230
59,-12,-7.590648971150470,21.177338007536481,-12.7144966,-0.0004959,26.4462814,-0.0187099,-0.1182630,4.0000000,0.0430814,1.0417236,16.2791786,-0.2796074,0.1029181
60,-12,-7.583192331150470,21.177338007536481,-12.7148123,-0.0002479,28.0991745,-0.0104220,-0.1011479,4.0000000,0.0336724,1.0419580,16.3238068,-0.2359683,0.0677471
61,-12,-7.322209931150470,21.177338007536481,-12.7188005,0.0035537,45.4545441,-0.0747504,-0.0338108,4.0000000,-0.1728345,1.0437745,16.6597633,0.1052129,0.1849991
62,-12,-7.314753291150470,21.177338007536481,-12.7186127,0.0033058,44.6280975,-0.0695567,-0.0459288,4.0000000,-0.1715312,1.0444111,16.7761879,0.0796735,0.1781418
63,-12,-7.307296651150470,21.177338007536481,-12.7184162,0.0030579,43.8016510,-0.0623384,-0.0573496,4.0000000,-0.1698639,1.0450385,16.8898067,0.0551647,0.1672847
64,-12,-7.299840011150470,21.177338007536481,-12.7182112,0.0028099,42.9752083,-0.0537418,-0.0667754,4.0000000,-0.1656032,1.0456419,16.9994183,0.0320524,0.1527997
65,-12,-7.292383371150470,21.177338007536481,-12.7179985,0.0024793,42.1487617,-0.0443243,-0.0753568,4.0000000,-0.1594222,1.0462126,17.1033115,0.0087087,0.1363253
66,-12,-7.284926731150470,21.177338007536481,-12.7177773,0.0022314,41.3223152,-0.0343774,-0.0806829,4.0000000,-0.1480707,1.0467521,17.1993332,-0.0132951,0.1163331
67,-12,-7.277470091150470,21.177338007536481,-12.7175493,0.0019835,40.4958687,-0.0253939,-0.0797562,4.0000000,-0.1261451,1.0472450,17.2853985,-0.0333673,0.0934465
68,-12,-7.270013451150470,21.177338007536481,-12.7173147,0.0018182,39.6694221,-0.0173012,-0.0751697,4.0000000,-0.0984533,1.0476686,17.3618393,-0.0518861,0.0697872
69,-12,-7.262556811150470,21.177338007536481,-12.7170763,0.0016529,38.8429756,-0.0115886,-0.0634537,4.0000000,-0.0597242,1.0480207,17.4238434,-0.0671832,0.0473377
70,-12,-7.255100171150470,21.177338007536481,-12.7168341,0.0014876,38.0165291,-0.0084389,-0.0476495,4.0000000,-0.0147753,1.0482889,17.4700222,-0.0805237,0.0306774
71,-12,-7.247643531150470,21.177338007536481,-12.7165918,0.0013223,37.1900826,-0.0081082,-0.0264098,4.0000000,0.0376719,1.0484581,17.5006294,-0.0904914,0.0222488
72,-12,-7.240186891150470,21.177338007536481,-12.7163534,0.0010744,35.5371895,-0.0106187,-0.0020868,4.0000000,0.0935347,1.0485309,17.5139465,-0.0977083,0.0257068
73,-12,-7.232730251150470,21.177338007536481,-12.7161198,0.0009091,34.7107430,-0.0159824,0.0274891,4.0000000,0.1566922,1.0485041,17.5078735,-0.1017139,0.0441186
74,-12,-7.665215371150470,21.169881367536480,-12.7133970,-0.0015702,18.1818180,-0.2251286,-0.1642848,4.0000000,0.2532438,1.0346615,14.8749123,-0.5818135,0.6193758
75,-12,-7.657758731150470,21.169881367536480,-12.7137079,-0.0013223,19.8347111,-0.2033732,-0.1788466,4.0000000,0.2214303,1.0354983,15.0495186,-0.5791234,0.5928720
76,-12,-7.650302091150470,21.169881367536480,-12.7140265,-0.0010744,21.4876041,-0.1792345,-0.1923262,4.0000000,0.1881237,1.0363150,15.2160416,-0.5727761,0.5610836
77,-12,-7.642845451150470,21.169881367536480,-12.7143497,-0.0007438,23.9669418,-0.1552289,-0.2031818,4.0000000,0.1562175,1.0371060,15.3764477,-0.5625811,0.5266334
78,-12,-7.635388811150470,21.169881367536480,-12.7146769,-0.0004959,25.6198349,-0.1295261,-0.2111642,4.0000000,0.1250470,1.0378617,15.5293741,-0.5473753,0.4840508
79,-12,-7.627932171150470,21.169881367536480,-12.7150059,-0.0001653,27.2727280,-0.1032752,-0.2153575,4.0000000,0.0949495,1.0385709,15.6693363,-0.5256646,0.4335653
80,-12,-7.620475531150470,21.169881367536480,-12.7153349,0.0001653,28.9256191,-0.0802498,-0.2143939,4.0000000,0.0725815,1.0392207,15.7970161,-0.5013692,0.3804516
81,-12,-7.613018891150470,21.169881367536480,-12.7156639,0.0004959,30.5785122,-0.0588032,-0.2103948,4.0000000,0.0514113,1.0398040,15.9115114,-0.4722010,0.3251687
82,-12,-7.605562251150470,21.169881367536480,-12.7159920,0.0008264,32.2314034,-0.0418461,-0.2014627,4.0000000,0.0365241,1.0403214,16.0111675,-0.4394495,0.2711466
83,-12,-7.598105611150470,21.169881367536480,-12.7163181,0.0010744,33.8842964,-0.0272923,-0.1895892,4.0000000,0.0244115,1.0407692,16.0967178,-0.4035898,0.2181377
84,-12,-7.590648971150470,21.169881367536480,-12.7166424,0.0013223,35.5371895,-0.0164856,-0.1745985,4.0000000,0.0162856,1.0411382,16.1680145,-0.3654825,0.1699006
85,-12,-7.583192331150470,21.169881367536480,-12.7169657,0.0015702,37.1900826,-0.0078432,-0.1577152,4.0000000,0.0075310,1.0414294,16.2232132,-0.3229614,0.1259389
86,-12,-7.575735691150470,21.169881367536480,-12.7172871,0.0019008,38.8429756,-0.0028787,-0.1386679,4.0000000,0.0028573,1.0416472,16.2634640,-0.2801932,0.0900938
87,-12,-7.337123211150471,21.169881367536480,-12.7213459,-0.0033884,14.0495872,-0.0534974,-0.0585406,4.0000000,-0.1665836,1.0426419,16.4480000,0.0495024,0.1452867
88,-12,-7.329666571150470,21.169881367536480,-12.7211895,-0.0035537,13.2231407,-0.0514457,-0.0720619,4.0000000,-0.1659226,1.0431902,16.5503578,0.0217988,0.1493028
89,-12,-7.322209931150470,21.169881367536480,-12.7210245,-0.0037190,12.3966942,-0.0477845,-0.0864161,4.0000000,-0.1672807,1.0437465,16.6535339,-0.0055514,0.1518619
90,-12,-7.314753291150470,21.169881367536480,-12.7208519,-0.0039669,11.5702477,-0.0428670,-0.1018589,4.0000000,-0.1700635,1.0443126,16.7577152,-0.0336542,0.1543607
91,-12,-7.307296651150470,21.169881367536480,-12.7206697,-0.0042149,10.7438021,-0.0357754,-0.1161682,4.0000000,-0.1715840,1.0448744,16.8602638,-0.0607524,0.1525032
92,-12,-7.299840011150470,21.169881367536480,-12.7204800,-0.0044628,9.9173555,-0.0274009,-0.1304907,4.0000000,-0.1725168,1.0454222,16.9601650,-0.0884646,0.1493514
93,-12,-7.292383371150470,21.169881367536480,-12.7202797,-0.0047934,9.0909090,-0.0190382,-0.1412454,4.0000000,-0.1694644,1.0459509,17.0544510,-0.1130263,0.1430276
94,-12,-7.284926731150470,21.169881367536480,-12.7200718,-0.0050413,9.0909090,-0.0110447,-0.1487272,4.0000000,-0.1614260,1.0464443,17.1429024,-0.1360284,0.1336556
95,-12,-7.277470091150470,21.169881367536480,-12.7198553,0.0047107,49.5867767,-0.0048161,-0.1505833,4.0000000,-0.1441330,1.0468930,17.2235584,-0.1570337,0.1203457
96,-12,-7.270013451150470,21.169881367536480,-12.7196302,0.0044628,48.7603302,-0.0004839,-0.1480786,4.0000000,-0.1209508,1.0472875,17.2931061,-0.1752063,0.1051429
97,-12,-7.262556811150470,21.169881367536480,-12.7193995,0.0042149,47.9338837,0.0007357,-0.1386515,4.0000000,-0.0869936,1.0476161,17.3524399,-0.1903095,0.0878821
98,-12,-7.255100171150470,21.169881367536480,-12.7191639,0.0039669,47.1074371,-0.0012740,-0.1238172,4.0000000,-0.0450284,1.0478762,17.3982677,-0.2026060,0.0728428
99,-12,-7.247643531150470,21.169881367536480,-12.7189264,0.0037190,46.2809906,-0.0067214,-0.1035467,4.0000000,0.0043920,1.0480536,17.4287014,-0.2114853,0.0631406
100,-12,-7.240186891150470,21.169881367536480,-12.7186899,0.0033884,44.6280975,-0.0151905,-0.0798206,4.0000000,0.0590192,1.0481349,17.4425030,-0.2186604,0.0626700
101,-12,-7.232730251150470,21.169881367536480,-12.7184572,0.0031405,43.8016510,-0.0270710,-0.0512745,4.0000000,0.1200473,1.0481166,17.4410648,-0.2225962,0.0743959
102,-12,-7.225273611150470,21.169881367536480,-12.7182322,0.0028926,42.9752083,-0.0412618,-0.0200296,4.0000000,0.1836742,1.0479995,17.4203072,-0.2237335,0.1001031
103,-12,-7.217816971150470,21.169881367536480,-12.7180176,0.0026446,42.1487617,-0.0569552,0.0118031,4.0000000,0.2458838,1.0477858,17.3827419,-0.2222776,0.1398294
104,-12,-7.657758731150470,21.162424727536482,-12.7156734,0.0004959,28.9256191,-0.2049703,-0.1984242,4.0000000,0.2207619,1.0346594,14.8722677,-0.6176103,0.6254261
105,-12,-7.650302091150470,21.162424727536482,-12.7160149,0.0007438,30.5785122,-0.1801227,-0.2144549,4.0000000,0.1853182,1.0354652,15.0412846,-0.6142280,0.5992830
106,-12,-7.642845451150470,21.162424727536482,-12.7163601,0.0010744,33.0578499,-0.1548716,-0.2287510,4.0000000,0.1500276,1.0362520,15.2028008,-0.6075296,0.5711896
107,-12,-7.635388811150470,21.162424727536482,-12.7167091,0.0013223,34.7107430,-0.1275522,-0.2415086,4.0000000,0.1135943,1.0370101,15.3563871,-0.5966115,0.5371154
108,-12,-7.627932171150470,21.162424727536482,-12.7170582,0.0016529,36.3636360,-0.1006016,-0.2498280,4.0000000,0.0802574,1.0377240,15.4998817,-0.5799134,0.4955966
109,-12,-7.620475531150470,21.162424727536482,-12.7174063,0.0019835,38.0165291,-0.0775414,-0.2515756,4.0000000,0.0552130,1.0383899,15.6327906,-0.5583642,0.4486324
110,-12,-7.613018891150470,21.162424727536482,-12.7177515,0.0023140,39.6694221,-0.0552210,-0.2505311,4.0000000,0.0317460,1.0389974,15.7519884,-0.5328083,0.3970279
111,-12,-7.605562251150470,21.162424727536482,-12.7180948,0.0027273,41.3223152,-0.0371257,-0.2442805,4.0000000,0.0140062,1.0395367,15.8590288,-0.5025672,0.3434827
112,-12,-7.598105611150470,21.162424727536482,-12.7184343,0.0030579,42.9752083,-0.0220062,-0.2346425,4.0000000,-0.0001864,1.0400168,15.9520321,-0.4690986,0.2897356
113,-12,-7.590648971150470,21.162424727536482,-12.7187700,0.0033884,44.6280975,-0.0115971,-0.2205647,4.0000000,-0.0080683,1.0404339,16.0316620,-0.4330610,0.2384813
114,-12,-7.583192331150470,21.162424727536482,-12.7191019,0.0037190,46.2809906,-0.0030948,-0.2053352,4.0000000,-0.0157943,1.0407760,16.0977345,-0.3948761,0.1911321
115,-12,-7.575735691150470,21.162424727536482,-12.7194309,0.0041322,47.9338837,0.0017743,-0.1867910,4.0000000,-0.0188137,1.0410513,16.1507893,-0.3547682,0.1483798
116,-12,-7.568279051150470,21.162424727536482,-12.7197561,0.0045455,49.5867767,0.0058183,-0.1695456,4.0000000,-0.0250341,1.0412598,16.1896095,-0.3140571,0.1125504
117,-12,-7.337123211150471,21.162424727536482,-12.7235413,-0.0013223,23.1404953,-0.0287692,-0.1032134,4.0000000,-0.1559425,1.0425322,16.4279003,-0.0504843,0.1205770
118,-12,-7.329666571150470,21.162424727536482,-12.7233982,-0.0014050,22.3140488,-0.0259791,-0.1183031,4.0000000,-0.1570726,1.0430191,16.5180607,-0.0795337,0.1297243
119,-12,-7.322209931150470,21.162424727536482,-12.7232466,-0.0014876,21.4876041,-0.0213786,-0.1362484,4.0000000,-0.1621805,1.0435131,16.6104870,-0.1103164,0.1403606
120,-12,-7.314753291150470,21.162424727536482,-12.7230873,-0.0016529,20.6611576,-0.0153869,-0.1543624,4.0000000,-0.1682844,1.0440077,16.7013645,-0.1404404,0.1509017
121,-12,-7.307296651150470,21.162424727536482,-12.7229185,-0.0018182,19.8347111,-0.0085715,-0.1715852,4.0000000,-0.1728242,1.0444982,16.7917747,-0.1703462,0.1609518
122,-12,-7.299840011150470,21.162424727536482,-12.7227402,-0.0019835,19.0082645,-0.0008116,-0.1881297,4.0000000,-0.1764894,1.0449789,16.8786488,-0.1997699,0.1701808
123,-12,-7.292383371150470,21.162424727536482,-12.7225533,-0.0022314,18.1818180,0.0076288,-0.2026594,4.0000000,-0.1777993,1.0454412,16.9631195,-0.2275195,0.1762965
124,-12,-7.284926731150470,21.162424727536482,-12.7223558,-0.0023967,18.1818180,0.0145327,-0.2125532,4.0000000,-0.1730403,1.0458738,17.0413074,-0.2520660,0.1783211
125,-12,-7.277470091150470,21.162424727536482,-12.7221489,-0.0025620,18.1818180,0.0184227,-0.2154221,4.0000000,-0.1585752,1.0462755,17.1134243,-0.2722690,0.1734910
126,-12,-7.270013451150470,21.162424727536482,-12.7219334,-0.0028099,17.3553715,0.0203452,-0.2152534,4.0000000,-0.1396172,1.0466388,17.1781216,-0.2908895,0.1669891
127,-12,-7.262556811150470,21.162424727536482,-12.7217102,-0.0030579,16.5289249,0.0182589,-0.2085618,4.0000000,-0.1109710,1.0469518,17.2338428,-0.3061525,0.1567407
128,-12,-7.255100171150470,21.162424727536482,-12.7214804,-0.0033058,15.7024794,0.0120136,-0.1949088,4.0000000,-0.0723172,1.0472019,17.2782421,-0.3175004,0.1437948
129,-12,-7.247643531150470,21.162424727536482,-12.7212477,-0.0035537,14.8760328,0.0012913,-0.1756362,4.0000000,-0.0250562,1.0473720,17.3085155,-0.3262162,0.1341487
130,-12,-7.240186891150470,21.162424727536482,-12.7210131,-0.0038843,14.0495872,-0.0123880,-0.1526708,4.0000000,0.0273409,1.0474603,17.3250866,-0.3326825,0.1303634
131,-12,-7.232730251150470,21.162424727536482,-12.7207804,-0.0041322,13.2231407,-0.0297744,-0.1248784,4.0000000,0.0859153,1.0474598,17.3247566,-0.3356722,0.1356442
132,-12,-7.225273611150470,21.162424727536482,-12.7205534,-0.0043802,12.3966942,-0.0495551,-0.0946406,4.0000000,0.1472488,1.0473651,17.3086967,-0.3365300,0.1528869
133,-12,-7.217816971150470,21.162424727536482,-12.7203360,-0.0046281,11.5702477,-0.0708484,-0.0629700,4.0000000,0.2086879,1.0471784,17.2753563,-0.3346280,0.1826973
134,-12,-7.210360331150470,21.162424727536482,-12.7201300,-0.0047934,10.7438021,-0.0946859,-0.0283641,4.0000000,0.2736515,1.0468926,17.2250614,-0.3303797,0.2285407
135,-12,-7.202903691150470,21.162424727536482,-12.7199411,0.0050413,49.5867767,-0.1188149,0.0038033,4.0000000,0.3328526,1.0465088,17.1571846,-0.3252459,0.2867831
136,-12,-7.657758731150470,21.154968087536481,-12.7176104,0.0023140,38.0165291,-0.2030391,-0.2086122,4.0000000,0.2217499,1.0338030,14.6925077,-0.6389744,0.6365309
137,-12,-7.650302091150470,21.154968087536481,-12.7179737,0.0025620,39.6694221,-0.1781347,-0.2279069,4.0000000,0.1837476,1.0346019,14.8606920,-0.6395614,0.6181534
138,-12,-7.642845451150470,21.154968087536481,-12.7183418,0.0029752,42.1487617,-0.1520751,-0.2456691,4.0000000,0.1451928,1.0353796,15.0222740,-0.6365309,0.5974391
139,-12,-7.635388811150470,21.154968087536481,-12.7187119,0.0033058,43.8016510,-0.1237612,-0.2618738,4.0000000,0.1052216,1.0361221,15.1756945,-0.6289693,0.5711345
140,-12,-7.627932171150470,21.154968087536481,-12.7190819,0.0037190,45.4545441,-0.0962453,-0.2741252,4.0000000,0.0690909,1.0368285,15.3201399,-0.6173412,0.5395190
141,-12,-7.620475531150470,21.154968087536481,-12.7194490,0.0041322,47.1074371,-0.0723765,-0.2801999,4.0000000,0.0397939,1.0374975,15.4541063,-0.6001939,0.5021176
142,-12,-7.613018891150470,21.154968087536481,-12.7198133,0.0045455,48.7603302,-0.0508282,-0.2807776,4.0000000,0.0157792,1.0381198,15.5777712,-0.5773345,0.4564430
143,-12,-7.605562251150470,21.154968087536481,-12.7201719,-0.0049587,5.7851238,-0.0320398,-0.2779372,4.0000000,-0.0047657,1.0386819,15.6889296,-0.5511087,0.4084144
144,-12,-7.598105611150470,21.154968087536481,-12.7205257,-0.0045455,7.4380164,-0.0163287,-0.2705452,4.0000000,-0.0210518,1.0391841,15.7887077,-0.5200387,0.3562456
145,-12,-7.590648971150470,21.154968087536481,-12.7208748,-0.0041322,9.0909090,-0.0052715,-0.2584901,4.0000000,-0.0304767,1.0396272,15.8750000,-0.4865033,0.3039624
146,-12,-7.583192331150470,21.154968087536481,-12.7212172,-0.0037190,10.7438021,0.0025302,-0.2440034,4.0000000,-0.0364427,1.0400093,15.9486399,-0.4515641,0.2548307
147,-12,-7.575735691150470,21.154968087536481,-12.7215548,-0.0033058,12.3966942,0.0076980,-0.2268391,4.0000000,-0.0393110,1.0403321,16.0108776,-0.4143671,0.2079259
148,-12,-7.568279051150470,21.154968087536481,-12.7218876,-0.0028926,14.0495872,0.0126826,-0.2114135,4.0000000,-0.0462409,1.0405921,16.0614033,-0.3765861,0.1673832
